t [s],error [m],run_obj,accum_obj
10.461100000000016,3.5794922317922766,1305.9264637461254,32848.72061272027
10.511100000000017,3.5767620365389345,1303.9726666026147,32979.11787938054
10.561100000000017,3.574036750593233,1302.0238694591037,33109.320266326446
10.611100000000018,3.5713163851941103,1300.0800723155928,33239.32827355801
10.661100000000019,3.5686009515944503,1298.1412751720816,33369.142401075216
10.71110000000002,3.5658904610609827,1296.207478028571,33498.763148878075
10.76110000000002,3.5631849248741774,1294.2786808850599,33628.19101696658
10.811100000000021,3.560484354328142,1292.3548837415485,33757.426505340736
10.861100000000022,3.557788760730516,1290.4360865980382,33886.47011400054
10.911100000000022,3.555098155402361,1288.522289454527,34015.322342946
10.961100000000023,3.5524125496780576,1286.613492311016,34143.9836921771
11.011100000000024,3.549731954905194,1284.709695167505,34272.454661693846
11.061100000000025,3.5470563824444543,1282.8108980239938,34400.73575149624
11.111100000000025,3.544385843669511,1280.917100880483,34528.82746158429
11.161100000000026,3.5417203499669085,1279.028303736972,34656.73029195799
11.211100000000027,3.539059912735953,1277.144506593461,34784.444742617336
11.261100000000027,3.536404543388596,1275.2657094499502,34911.97131356233
11.311100000000028,3.5337542533493176,1273.3919123064395,35039.31050479298
11.361100000000029,3.5311090540550123,1271.5231151629284,35166.46281630927
11.41110000000003,3.528468956954868,1269.6593180194175,35293.42874811121
11.46110000000003,3.525833973510248,1267.8005208759066,35420.2088001988
11.511100000000031,3.52320411519457,1265.9467237323954,35546.80347257204
11.561100000000032,3.5205793934931853,1264.0979265888843,35673.21326523093
11.611100000000032,3.517959819903254,1262.2541294453733,35799.438678175466
11.661100000000033,3.5153454059336227,1260.4153323018625,35925.48021140565
11.711100000000034,3.512736163104698,1258.5815351583517,36051.33836492149
11.761100000000035,3.510132102948322,1256.7527380148406,36177.01363872297
11.811100000000035,3.5075332370076406,1254.92894087133,36302.506532810105
11.861100000000036,3.50493957683698,1253.1101437278187,36427.81754718289
11.911100000000037,3.502351134001712,1251.296346584308,36552.947181841315
11.961100000000037,3.4997679200781255,1249.4875494407968,36677.8959367854
12.011100000000038,3.4971899466532927,1247.6837522972858,36802.66431201513
12.061100000000039,3.4946172253249355,1245.8849551537749,36927.2528075305
12.11110000000004,3.492049767701291,1244.091158010264,37051.66192333153
12.16110000000004,3.4894875854009757,1242.3023608667534,37175.8921594182
12.211100000000041,3.4869306900528465,1240.5185637232419,37299.94401579053
12.261100000000042,3.4843790932958645,1238.739766579731,37423.8179924485
